43闻香识女人信息：导演:马丁·布莱斯MartinBrest   主演:阿尔·帕西诺AlPacino/克里斯...1992 / 美国 / 剧情
44辩护人信息：导演:杨宇硕Woo-seokYang   主演:宋康昊Kang-hoSong/吴达洙Dal-suO...2013 / 韩国 / 剧情
45两杆大烟枪信息：导演:GuyRitchie   主演:JasonFlemyng/DexterFletcher/NickMoran1998 / 英国 / 剧情喜剧犯罪
46飞越疯人院信息：导演:米洛斯·福尔曼MilošForman   主演:杰克·尼科尔森JackNichols...1975 / 美国 / 剧情
47死亡诗社信息：导演:彼得·威尔PeterWeir   主演:罗宾·威廉姆斯RobinWilliams/罗伯...1989 / 美国 / 剧情
48V字仇杀队信息：导演:詹姆斯·麦克特格JamesMcTeigue   主演:娜塔莉·波特曼NataliePor...2005 / 美国英国德国 / 剧情动作科幻惊悚
49指环王2：双塔奇兵信息：导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...2002 / 美国新西兰 / 剧情动作奇幻冒险
50教父2信息：导演:弗朗西斯·福特·科波拉FrancisFordCoppola   主演:阿尔·帕西诺A...1974 / 美国 / 剧情犯罪
51海豚湾信息：导演:LouiePsihoyos   主演:JohnChisholm/Mandy-RaeCruikshank/Char...2009 / 美国 / 纪录片
52指环王1：魔戒再现信息：导演:彼得·杰克逊PeterJackson   主演:伊利亚·伍德ElijahWood/西恩...2001 / 新西兰美国 / 剧情动作奇幻冒险
53饮食男女信息：导演:李安AngLee   主演:郎雄SihungLung/杨贵媚Kuei-MeiYang/吴...1994 / 台湾美国 / 剧情家庭
54美丽心灵信息：导演:朗·霍华德RonHoward   主演:罗素·克劳RussellCrowe/艾德·哈...2001 / 美国 / 传记剧情
55素媛信息：导演:李濬益Jun-ikLee   主演:薛景求Kyung-guSol/严志媛Ji-wonUhm...2013 / 韩国 / 剧情
56情书信息：导演:岩井俊二ShunjiIwai   主演:中山美穗MihoNakayama/丰川悦司Ets...1995 / 日本 / 剧情爱情
57末代皇帝信息：导演:贝纳尔多·贝托鲁奇BernardoBertolucci   主演:尊龙JohnLone/陈...1987 / 英国意大利中国大陆法国美国 / 剧情传记历史
58狮子王信息：导演:RogerAllers/罗伯·明可夫RobMinkoff   主演:乔纳森·泰勒·托马...1994 / 美国 / 剧情动画冒险歌舞家庭
59钢琴家信息：导演:罗曼·波兰斯基RomanPolanski   主演:艾德里安·布洛迪AdrienBrod...2002 / 法国德国英国波兰 / 剧情传记历史战争音乐
60美国往事信息：导演:赛尔乔·莱翁内SergioLeone   主演:罗伯特·德尼罗RobertDeNiro...1984 / 意大利美国 / 犯罪剧情
